label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.430006313,None,1-$input700.Red1-$input700.RC-$input700.Red2,,,False,False
input700.Red1,0.249993687,0.000543347,None,0.25,0,False,True
input700.Red2,0.14,0.000834032,None,,,False,False
input700.RC,0.18,None,None,0.4,0,False,False
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRC,0.852182044,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.190147516,None,None,,0,False,True
rates.ToRCFromRP1,0.005378421,None,None,,0,False,False
rates.ToRP1FromRC,0.9,None,None,,0,False,False
rates.ToRP2FromRP1,0.069576343,0.000232867,None,,0,False,True
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.727514546,0.000399245,None,,0,False,True
scale.670TR2,0.988269741,0.000431793,None,,0,False,True
scale.700TR2,0.727351495,0.00039881,None,,0,False,True
irf.center2,0.311565107,0.00033112,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.32622246,0.000351992,None,,0,False,True
irf.width1,0.042715768,0.000281889,None,,0,False,True
input670.Ant1,0.832501377,None,1-$input670.Red1-$input670.Bulk-$input670.RC,,,False,False
input670.Bulk,0.073359854,0.002636067,None,0.2,0,False,True
input670.Red1,0.090310615,0.000706609,None,0.15,0,False,True
input670.Red2,0,None,None,,,False,False
input670.free,0.018,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,0.003828154,0.002826812,None,0.1,0,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
rates.ToBulkFromAnt1,2.347720451,None,$rates.ToAnt1FromBulk*exp(4),,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,0,False,True
scale.RP1SADS,0.993720657,0.00424055,None,,0,False,True
scale.Ant1SADS,1,0.035747083,None,,0,False,False
scale.Red1SADS,1.001736299,0.003574259,None,,0,False,True
scale.Red2SADS,0.984562871,0.008366641,None,,0,False,True
scale.RCSADS,1.020006033,0.00718362,None,,0,False,True
rates.ToBulkFromRed1,0.212503697,None,$rates.ToRed1FromBulk*exp(0.8),,,False,False
rates.ToRed2FromBulk,0.019693287,0.000136272,None,,,False,True
rates.ToBulkFromRed2,0.073720271,None,$rates.ToRed2FromBulk*exp(1.32),,,False,False
rates.ToRed1FromBulk,0.095484066,0.000450932,None,,,False,True
scale.freeSADS,0.994024128,0.008428434,None,,0,False,True
