label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.139980454,None,1-$input700.RC-$input700.Red1-$input700.Red2,,,False,False
input700.Red1,0.233070034,0.011767761,None,0.25,0,False,True
input700.Red2,0.247930572,0.01340811,None,0.25,0,False,True
input700.RC,0.2,0.044166361,None,0.4,0,False,False
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed,0.075701609,None,$rates.ToRedFromBulk*exp(0.541),,,False,False
rates.ToRedFromBulk,0.044070888,0.000444058,None,,,False,True
rates.ToBulkFromRC,0.913925693,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.203924386,0.004623237,None,,0,False,True
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.059,0.000622381,None,,0,False,False
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.759130353,0.000679254,None,,0,False,True
scale.670TR2,0.987301713,0.000449078,None,,0,False,True
scale.700TR2,0.755049238,0.000471436,None,,0,False,True
irf.center2,0.306333618,0.000309371,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.321710507,0.000370319,None,,0,False,True
irf.width1,0.040747152,0.000264198,None,,0,False,True
input670.Ant1,0.849979976,None,1-$input670.RC-$input670.Red1-$input670.Red2-$input670.Bulk,,,False,False
input670.Bulk,3.47E-06,0.608081424,None,0.4,0,False,True
input670.Red1,0.149998234,0.032244871,None,0.15,0,False,True
input670.Red2,1.04E-05,0.01280179,None,0.15,0,False,True
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,7.90E-06,0.094054183,None,0.1,0,False,True
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
rates.ToBulkFromRed1,0.119797093,None,$rates.ToRedFromBulk*exp(1),,,False,False
rates.ToRed1FromBulk,0.135129541,0.004527381,None,,,False,True
rates.ToBulkFromRed2,0.161709161,None,$rates.ToRedFromBulk*exp(1.3),,,False,False
rates.ToRed2FromBulk,0.036214097,0.003841617,None,,,False,True
scale.Red1SADS,0.858034808,0.035209929,None,,0,False,True
scale.Red2SADS,1.070661829,0.043705596,None,,0,False,True
scale.WLRCSADS,1,0.035209929,None,,0,False,True
scale.WLRP1SADS,1,0.043705596,None,,0,False,True
